window,rmse,mae,mape,smape,nrmse
0,340.727,309.659,538.153,61.72,0.71
657,122.034,84.166,94.247,45.194,0.151
1314,350.016,246.597,230.166,62.313,0.422
1971,110.121,83.564,196.64,51.9,1.101
2628,167.364,145.118,208.608,46.193,0.294
3285,127.333,107.189,200.907,43.34,0.311
3942,146.074,110.866,115.497,63.005,0.2
4599,106.281,70.325,102.548,38.342,0.159
5256,208.852,174.671,258.782,51.314,0.426
5913,116.293,70.324,74.343,40.564,0.153
6570,175.992,135.445,211.847,76.321,0.32
7227,80.009,54.156,79.472,27.676,0.136
7884,120.595,69.388,84.056,42.651,0.177
8541,221.083,196.538,309.775,51.527,0.32
9198,112.881,76.438,78.798,41.826,0.168
9855,97.314,61.63,88.151,26.096,0.512
10512,201.578,129.964,95.985,62.289,0.32
11169,48.477,37.873,74.933,51.201,0.808
11826,200.593,175.403,250.698,56.53,0.456
12483,102.265,90.412,139.87,38.756,0.292
13140,201.692,185.883,250.315,51.871,0.265
13797,135.316,112.799,179.377,60.262,0.26
14454,194.731,162.286,248.508,79.327,2.164
15111,186.968,142.116,153.653,75.154,0.246
15768,187.281,159.158,235.092,84.136,0.426
16425,85.627,71.703,120.597,47.773,0.231
17082,218.921,151.481,83.776,56.918,0.353
17739,146.781,128.195,222.929,46.625,0.408
18396,84.229,54.791,52.365,21.459,0.187
19053,165.613,135.838,143.969,55.876,0.204
