window,rmse,mape,smape,mae,nrmse
0,0.55,0.033,0.017,0.05,0.001
657,1.731,0.405,0.205,0.27,0.002
1314,0.03,0.004,0.002,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0
2628,0.39,0.044,0.021,0.03,0.001
3285,0.0,0.0,0.0,0.0,0.0
3942,0.103,0.04,0.02,0.02,0.0
4599,0.065,0.01,0.005,0.01,0.0
5256,0.272,0.033,0.017,0.03,0.001
5913,0.634,0.505,0.181,11.58,0.001
6570,0.25,0.096,0.048,0.05,0.0
7227,0.013,0.002,0.001,0.0,0.0
7884,1.385,0.216,0.092,0.11,0.002
8541,0.129,0.027,0.014,0.02,0.0
9198,0.065,0.012,0.006,0.01,0.0
9855,0.123,0.024,0.012,0.01,0.001
10512,0.077,0.019,0.01,0.01,0.0
11169,0.027,0.003,0.001,0.0,0.0
11826,0.167,0.027,0.014,0.02,0.0
12483,0.257,0.056,0.028,0.04,0.001
13140,0.096,0.016,0.008,0.01,0.0
13797,0.689,0.236,0.118,0.12,0.001
14454,0.168,0.027,0.013,0.02,0.002
15111,0.001,0.0,0.0,4.15,0.0
15768,0.523,0.189,0.093,0.11,0.001
16425,0.157,0.032,0.016,0.02,0.0
17082,0.0,0.0,0.0,11.61,0.0
17739,2.042,0.988,0.442,0.48,0.006
18396,0.292,0.106,0.053,0.07,0.001
19053,0.202,0.068,0.034,0.04,0.0
