window,rmse,mae,mape,smape,nrmse
0,211.96,193.532,313.095,55.222,0.442
657,374.296,315.66,461.582,63.444,0.462
1314,349.331,266.279,302.489,60.962,0.421
1971,96.35,65.58,123.078,67.384,0.963
2628,163.965,145.241,204.155,46.481,0.288
3285,151.192,138.92,271.589,51.855,0.369
3942,150.476,110.507,114.551,50.969,0.206
4599,132.023,95.033,123.517,64.544,0.197
5256,193.547,156.747,229.647,48.021,0.395
5913,116.831,65.689,65.867,38.352,0.154
6570,207.737,186.008,358.866,56.05,0.378
7227,100.137,80.6,138.906,36.133,0.17
7884,156.124,98.485,114.658,56.986,0.23
8541,182.358,138.093,165.292,47.747,0.264
9198,118.399,83.578,94.592,44.028,0.177
9855,114.801,83.785,124.932,40.474,0.604
10512,161.179,108.651,94.267,53.212,0.256
11169,59.657,48.286,106.419,31.291,0.994
11826,164.189,148.413,216.281,58.669,0.373
12483,108.079,89.311,150.617,36.335,0.309
13140,248.847,232.305,321.382,56.593,0.327
13797,189.918,167.013,277.565,74.264,0.365
14454,205.564,180.063,271.938,84.909,2.284
15111,225.281,185.841,232.661,82.078,0.296
15768,229.201,193.666,298.58,82.73,0.521
16425,107.922,91.217,156.136,51.512,0.292
17082,248.185,171.831,92.095,60.699,0.4
17739,152.297,142.163,260.55,51.988,0.423
18396,107.779,82.509,86.505,29.14,0.24
19053,140.862,109.491,106.438,31.933,0.174
