,window,rmse,mape,mae,r2,smape,nrmse
0,0,115.46979273294016,49.231677191469245,64.8861068725586,0.0330136536295646,23.97600897493878,0.24056207
1,657,137.68436008368252,60.159068370978105,73.52942347671046,-0.0042775608832767,26.731495787689184,0.16998069
2,1314,165.6235101284047,71.58548849622609,89.78552181359494,0.0401206897502609,29.550863409878342,0.1995464
3,1971,17.20486151234068,33.90823126174931,12.672292304761482,0.2778208043542058,14.221833341189456,0.17204862
4,2628,87.29353025615319,64.24663718638594,58.3240795251095,-0.0156428632377139,24.5229761039306,0.15314654
5,3285,69.05324678364106,77.6980312030132,46.547606682054926,-0.048452604344586,27.135324499158543,0.16842255
6,3942,138.46554369303362,40.55731743681872,67.15845022490531,-0.1021644813778686,21.59974854652207,0.18967883
7,4599,87.73250723571614,87.07636161098155,58.51534807609789,0.1031069527976976,29.079524800328183,0.13094404
8,5256,53.58569649922341,49.51049019013843,32.857178659150094,-0.062030747995206,20.04328330170468,0.1246179
9,5913,122.8487228786954,45.85285730430364,58.69600173487808,0.0624056021618634,21.4728962812149,0.16164306
10,6570,89.88996751014649,80.91641124850737,52.903552546645656,-0.0270029234442998,27.650482706383595,0.1634363
11,7227,86.6709662065055,51.01368302409376,42.81309220285127,0.1488759900559508,21.03205441736232,0.14689994
12,7884,99.37287774055608,53.54240964021631,46.21649278582949,0.0658860561890242,21.91298430368586,0.14613658
13,8541,143.47694643245902,61.94925555958696,84.9055966463956,-0.0736666329627189,29.2583636066419,0.2079376
14,9198,105.11533909725856,32.674870568265526,47.45159875118371,-0.0360070093266828,17.67370529211746,0.15688857
15,9855,31.45614208501942,35.514913983561485,22.60230974139589,0.1519761441760996,15.372308760022555,0.16555864
16,10512,116.34634194566762,46.69391422464145,62.05494407885002,-0.0253493014307601,22.568080375360847,0.18467673
17,11169,35.67277839673211,79.8218922773309,33.746168887976445,-9.66856417512954,26.389513412823888,0.59454631
18,11826,61.82672969292219,30.10738643211261,30.1564565485174,0.062384347340802,14.552211118178764,0.14051529
19,12483,43.18419040142732,40.1684009985542,26.35136991558653,0.0411844154222194,15.877097780519044,0.1233834
20,13140,113.23998398939786,65.50514645240843,69.28312544389205,0.0387730207679727,26.668008620377048,0.14899998
21,13797,60.14591186613984,43.49714852250723,31.771294726747456,0.211013640458099,17.657315425000395,0.11566522
22,14454,21.588485280585743,27.810332358437567,17.428654318144826,-0.2948299812163582,11.667359003974674,0.23987206
23,15111,113.60696439363284,44.37246645548931,58.344330527565695,-0.1029414935310579,24.28201132569621,0.14948285
24,15768,62.421266330710594,50.93135462150514,38.83078446821733,0.0159328100750041,20.1601933342018,0.14186651
25,16425,64.1049790375296,72.48000075396132,45.93525998664624,-0.4640762738171082,25.08793988886364,0.1732567
26,17082,158.0068829746316,36.397634312132936,91.07201651370886,-0.3006749541864499,25.44889465132025,0.25484981
27,17739,39.2554579451801,46.14939648940918,27.23516702362985,-0.2620396536154208,18.33049216902695,0.10904294
28,18396,88.82862685342917,43.60444425106867,49.262403545957625,-0.0026508167380092,19.656770555021392,0.19739695
29,19053,147.15172686878154,56.36980489666694,90.46997810132576,0.0931682186144675,25.81671997507904,0.1816688
