,window,rmse,mape,mae,r2,smape,nrmse
0,0,0.40485188,30.729904770851135,0.23039773,0.9017310327145587,11.623363941907883,0.05179784
1,68309,0.32837012,19.91414874792099,0.16950534,0.9315155441528988,8.418020606040955,0.0421636
2,136618,0.32830283,44.43976283073425,0.18643086,0.8960690138178257,15.764206647872925,0.043380395
3,204927,0.26781687,37.74834871292114,0.14399207,0.9075013488029858,14.749370515346527,0.0371555
4,273236,0.26169106,70.74179649353027,0.19807479,0.9006336627990843,22.580306231975555,0.035126317
5,341545,0.4397717,53.80496382713318,0.2861044,0.8444960386211466,21.95848673582077,0.058730196
6,409854,0.42054173,58.34774971008301,0.33508116,0.8766976230001127,19.88288313150406,0.046142388
7,478163,0.35568854,24.403132498264313,0.20201933,0.9340320386694064,9.452244639396667,0.037575383
8,546472,0.31201646,31.750863790512085,0.20788875,0.9263004138088371,12.559343874454498,0.046514083
9,614781,0.3301239,46.74324989318848,0.23288712,0.9081822288151689,16.691608726978302,0.049038015
10,683090,0.27333438,21.474668383598328,0.13292283,0.9228792374705693,9.025086462497711,0.03108899
11,751399,0.26350886,28.432008624076843,0.13939594,0.895076965615567,11.637023091316223,0.037687194
12,819708,0.08316068,36.59908473491669,0.056320637,0.672508320398238,14.79124128818512,0.07980871
13,888017,0.28474772,22.09911346435547,0.1654407,0.9231512548209877,9.627403318881989,0.035593465
14,956326,0.34693375,35.268405079841614,0.23956957,0.9224802644250448,13.406853377819061,0.04148933
15,1024635,0.29474112,21.48098349571228,0.16045186,0.9293361443891388,9.18801799416542,0.034368135
16,1092944,0.283116,10.228051990270615,0.1117448,0.9383800509465392,4.697613790631294,0.025916882
17,1161253,0.27399,12.052161246538162,0.1239164,0.9346034187234498,5.598883703351021,0.03545419
18,1229562,0.25426522,37.571167945861816,0.16833185,0.9009485528956226,14.339108765125275,0.029476607
19,1297871,0.15024248,23.61195534467697,0.0838544,0.9076560236410564,9.924277663230896,0.03331319
20,1366180,0.29016283,41.38071835041046,0.19842032,0.8959802364364247,16.082772612571716,0.043857746
21,1434489,0.2859437,19.27848607301712,0.14736249,0.9292811025280235,8.416461944580078,0.03365627
22,1502798,0.32015327,32.61438012123108,0.20558484,0.9205028342398113,12.555843591690063,0.038759474
23,1571107,0.31624234,22.800828516483307,0.21664637,0.9226401807388578,10.245176404714584,0.035548825
24,1639416,0.25390932,19.352424144744873,0.14361013,0.9251095067559634,8.301471918821335,0.04236058
25,1707725,0.2539239,21.3861346244812,0.14557903,0.925625179776545,9.20620933175087,0.03574379
26,1776034,0.28285778,46.50874137878418,0.2005026,0.8858266849234829,16.857221722602844,0.038452663
27,1844343,0.12467019,34.940364956855774,0.09329177,0.8623401785404909,14.204943180084229,0.06413075
28,1912652,0.2817662,26.37290060520172,0.17841348,0.8961673114715265,11.443515866994858,0.04234539
29,1980961,0.23071325,20.438572764396667,0.13657048,0.9417086060343656,8.762124180793762,0.024249868
