,window,rmse,mape,mae,r2,smape,nrmse
0,0,0.4006079,20.00391036272049,0.19520585,0.9057834102790929,8.137888461351395,0.054683033
1,2277,0.28161994,8.560190349817276,0.11742634,0.9489853375284588,3.9667263627052307,0.044489723
2,4554,0.37226582,14.549416303634644,0.14401607,0.8892012474664923,6.184365972876549,0.0504152
3,6831,0.32847953,16.935762763023376,0.11833013,0.8572507065292786,6.704270094633102,0.056732215
4,9108,0.20886911,18.57924312353134,0.0803198,0.9372544343236728,7.812391966581345,0.03468434
5,11385,0.30859664,14.30101990699768,0.13497968,0.9247229563467726,6.848591566085815,0.04506376
6,13662,0.25854647,10.621815919876099,0.108795285,0.9572433966453787,4.896524176001549,0.03715816
7,15939,0.35810605,10.49416959285736,0.14845608,0.9359263942805434,4.963629320263863,0.044276215
8,18216,0.22743681,7.934539765119553,0.09488855,0.9601845129294213,3.791222721338272,0.035704367
9,20493,0.26504603,9.564778208732605,0.10198598,0.9347568721673641,4.482666775584221,0.05263027
10,22770,0.26858127,10.690513253211975,0.105180115,0.9237520548521361,4.948322102427483,0.038489718
11,25047,0.2997445,15.72018414735794,0.11235697,0.8689646712519281,6.631872802972794,0.048392717
12,27324,0.07171336,14.493738114833832,0.02937865,0.7830284297256828,6.913614273071289,0.08112371
13,29601,0.2977085,10.873754322528839,0.119729936,0.9146072472177759,4.895330592989922,0.05159593
14,31878,0.31803975,9.651726484298706,0.13407075,0.9354832720737866,4.517144337296486,0.043819197
15,34155,0.2555865,8.031105250120163,0.10038903,0.9497700501058062,3.951514884829521,0.042611953
16,36432,0.30948386,8.72533842921257,0.11005432,0.9317314888810451,3.8664013147354126,0.041799545
17,38709,0.24562101,8.12860056757927,0.10072542,0.9457417489701244,3.895293176174164,0.039061867
18,40986,0.23439741,14.15155977010727,0.10527496,0.912561353223382,6.323108822107315,0.046954613
19,43263,0.16621272,14.379779994487762,0.07016482,0.8862665186113943,6.008810177445412,0.049001392
20,45540,0.24154441,13.991644978523254,0.10708973,0.9333944834715956,6.5558552742004395,0.04213964
21,47817,0.27807313,9.589514136314392,0.113612674,0.9381453842967654,4.4080328196287155,0.044166636
22,50094,0.2976733,8.45223292708397,0.118099496,0.9330418271211292,4.034684970974922,0.050045952
23,52371,0.28420213,5.784661695361137,0.10737245,0.9424211111171741,2.8120098635554314,0.042711474
24,54648,0.19023024,7.956173270940781,0.08347235,0.9575847699282756,3.7391703575849533,0.032166086
25,56925,0.2034893,9.092020243406296,0.08815584,0.9494144077923563,4.253985732793808,0.035926785
26,59202,0.2525588,12.168259173631668,0.10278087,0.9042564608459578,5.481941998004913,0.054243725
27,61479,0.09928007,12.021630257368088,0.039985716,0.909991588253862,5.576585605740547,0.054192174
28,63756,0.27040938,10.499167442321777,0.10485789,0.8960177641702376,4.527586326003075,0.044416785
29,66033,0.21321547,7.736428827047348,0.07885828,0.9534977292313622,3.665108233690262,0.022643954
