window,rmse,mape,smape,mae,nrmse
0,1.173,63.832,21.852,0.715,0.156
2276,1.097,56.162,20.805,0.639,0.141
4552,0.911,80.697,26.759,0.532,0.147
6828,0.856,86.787,28.998,0.444,0.14
9104,0.66,62.948,20.0,0.31,0.142
11380,0.972,74.072,25.07,0.558,0.151
13656,1.118,58.117,20.849,0.637,0.143
15932,1.08,51.232,18.788,0.667,0.14
18208,0.959,55.898,20.937,0.559,0.156
20484,1.009,59.799,21.541,0.572,0.186
22760,0.944,71.073,23.67,0.534,0.143
25036,0.827,88.952,27.677,0.476,0.153
27312,0.195,88.512,31.59,0.128,0.226
29588,1.013,63.897,22.949,0.61,0.144
31864,1.091,59.115,21.532,0.655,0.145
34140,0.961,55.492,20.173,0.547,0.147
36416,1.037,52.619,19.558,0.566,0.156
38692,1.036,51.516,19.313,0.559,0.165
40968,0.887,66.821,23.511,0.489,0.153
43244,0.499,70.715,24.843,0.294,0.141
45520,0.825,69.958,24.589,0.457,0.148
47796,0.909,60.933,22.363,0.555,0.169
50072,0.988,53.268,20.153,0.588,0.183
52348,0.971,40.805,15.971,0.531,0.126
54624,0.895,46.729,18.093,0.498,0.151
56900,0.953,55.34,20.649,0.52,0.153
59176,0.947,80.382,26.263,0.542,0.129
61452,0.405,79.026,26.929,0.244,0.219
63728,0.808,59.674,21.024,0.497,0.137
66004,0.933,49.442,18.898,0.513,0.099
