window,rmse,mae,mape,smape,nrmse
0,1.177,0.719,63.778,22.529,0.156
2276,1.102,0.64,56.358,20.71,0.142
4552,0.923,0.54,81.71,27.372,0.149
6828,0.85,0.447,90.972,29.861,0.139
9104,0.666,0.314,64.259,21.09,0.144
11380,0.975,0.56,74.52,25.369,0.152
13656,1.121,0.638,58.163,20.837,0.143
15932,1.079,0.667,51.408,18.77,0.139
18208,0.958,0.558,56.365,20.909,0.156
20484,1.006,0.571,59.96,21.616,0.185
22760,0.944,0.536,72.266,24.127,0.143
25036,0.827,0.48,90.248,28.223,0.154
27312,0.207,0.141,99.062,36.799,0.24
29588,1.019,0.613,63.787,23.235,0.145
31864,1.092,0.657,59.784,21.643,0.146
34140,0.958,0.547,55.51,20.237,0.147
36416,1.036,0.568,53.46,19.811,0.156
38692,1.037,0.562,51.819,19.615,0.165
40968,0.891,0.495,69.145,23.878,0.153
43244,0.502,0.297,71.987,25.364,0.142
45520,0.829,0.459,70.272,24.642,0.149
47796,0.905,0.554,61.718,22.48,0.168
50072,0.984,0.588,53.531,20.27,0.182
52348,0.976,0.533,41.053,16.194,0.127
54624,0.896,0.501,47.216,18.271,0.151
56900,0.96,0.527,56.178,20.987,0.155
59176,0.949,0.544,81.152,26.392,0.129
61452,0.408,0.251,82.144,28.138,0.221
63728,0.814,0.501,60.475,21.412,0.138
66004,0.942,0.516,49.659,18.908,0.1
