window,rmse,mae,mape,smape,nrmse
0,0.109,0.046,8.13,3.317,0.015
2276,0.095,0.031,4.131,1.901,0.012
4552,0.097,0.038,12.68,4.483,0.016
6828,0.024,0.005,2.328,0.908,0.004
9104,0.046,0.006,0.464,0.265,0.01
11380,0.054,0.013,2.053,0.979,0.008
13656,0.058,0.027,0.345,0.161,0.007
15932,0.086,0.045,3.449,1.618,0.011
18208,0.127,0.06,15.648,5.496,0.021
20484,0.057,0.008,0.692,0.305,0.01
22760,0.106,0.033,10.986,3.424,0.016
25036,0.064,0.019,6.335,2.393,0.012
27312,0.038,0.009,8.011,2.313,0.044
29588,0.13,0.066,8.802,3.468,0.018
31864,0.028,0.004,0.268,0.145,0.004
34140,0.123,0.041,7.588,2.915,0.019
36416,0.031,0.008,1.4,0.651,0.005
38692,0.12,0.04,6.325,2.495,0.019
40968,0.103,0.043,12.099,4.471,0.018
43244,0.013,0.001,0.48,0.207,0.004
45520,0.032,0.007,2.302,0.97,0.006
47796,0.08,0.028,6.75,2.695,0.015
50072,0.064,0.02,3.821,1.564,0.012
52348,0.034,0.005,0.42,0.198,0.004
54624,0.042,0.015,2.657,1.165,0.007
56900,0.145,0.038,7.702,2.977,0.023
59176,0.049,0.025,3.405,1.357,0.007
61452,0.055,0.017,8.15,2.849,0.03
63728,0.064,0.031,4.622,1.94,0.011
66004,0.004,0.016,0.239,0.115,0.0
