window,rmse,mae,mape,smape,nrmse
0,1.176,0.716,63.757,21.985,0.156
2276,1.101,0.64,56.361,20.731,0.142
4552,0.924,0.54,82.004,27.485,0.149
6828,0.849,0.446,90.751,29.532,0.139
9104,0.666,0.314,64.214,20.784,0.144
11380,0.975,0.56,74.582,25.4,0.152
13656,1.121,0.639,58.291,20.875,0.143
15932,1.08,0.667,51.162,18.814,0.14
18208,0.958,0.558,56.422,20.994,0.156
20484,1.006,0.571,60.095,21.694,0.186
22760,0.943,0.536,72.547,24.052,0.143
25036,0.827,0.479,89.861,28.048,0.153
27312,0.207,0.141,99.476,36.25,0.24
29588,1.018,0.612,63.942,23.073,0.145
31864,1.093,0.659,60.182,21.63,0.146
34140,0.958,0.547,55.809,20.21,0.147
36416,1.036,0.569,53.517,19.802,0.156
38692,1.037,0.562,51.821,19.632,0.165
40968,0.891,0.495,68.832,23.92,0.153
43244,0.503,0.3,72.439,25.883,0.142
45520,0.828,0.459,70.292,24.699,0.149
47796,0.906,0.554,61.295,22.472,0.168
50072,0.984,0.587,53.378,20.209,0.182
52348,0.976,0.533,41.205,16.148,0.127
54624,0.895,0.5,47.06,18.201,0.151
56900,0.961,0.527,56.272,21.021,0.155
59176,0.947,0.543,81.596,26.318,0.129
61452,0.408,0.251,82.157,28.15,0.221
63728,0.814,0.501,60.495,21.443,0.138
66004,0.942,0.516,49.732,18.918,0.1
