window,rmse,mape,smape,mae,nrmse
0,0.018,0.674,0.32,0.004,0.004
16796,0.022,0.761,0.303,0.006,0.003
33592,0.02,0.406,0.199,0.003,0.005
50388,0.031,0.482,0.247,0.006,0.005
67184,0.04,1.551,0.757,0.013,0.006
83980,0.041,2.999,1.352,0.013,0.011
100776,0.014,0.304,0.148,0.002,0.002
117572,0.012,0.281,0.136,0.002,0.002
134368,0.013,0.729,0.358,0.004,0.003
151164,0.006,0.511,0.219,0.012,0.001
167960,0.013,0.965,0.465,0.004,0.002
184756,0.021,2.571,0.891,0.005,0.003
201552,0.005,0.359,0.171,0.001,0.001
218348,0.007,0.773,0.307,0.002,0.002
235144,0.06,0.679,0.241,0.003,0.009
251940,0.011,0.784,0.39,0.003,0.002
268736,0.044,2.582,0.857,0.007,0.004
285532,0.046,1.654,0.706,0.008,0.004
302328,0.031,0.425,0.179,0.002,0.004
319124,0.051,1.121,0.391,0.007,0.005
335920,0.025,0.957,0.444,0.005,0.005
352716,0.016,0.924,0.456,0.005,0.002
369512,0.03,0.318,0.161,0.006,0.003
386308,0.009,0.415,0.196,0.002,0.002
403104,0.004,0.074,0.037,0.002,0.0
419900,0.012,0.47,0.228,0.002,0.002
436696,0.024,1.137,0.541,0.006,0.003
453492,0.012,0.247,0.12,0.002,0.003
470288,0.046,2.581,1.041,0.011,0.015
487084,0.033,0.95,0.451,0.007,0.009
