window,rmse,nrmse,mape,mae,smape
0,0.74,0.176,52.329,0.506,21.951
1679,0.702,0.171,86.803,0.522,26.0
3358,0.491,0.175,71.545,0.326,22.173
5037,0.633,0.126,51.579,0.472,19.038
6716,0.53,0.146,103.782,0.383,24.744
8395,0.37,0.139,42.884,0.189,16.595
10074,0.599,0.139,80.843,0.414,24.546
11753,0.486,0.142,31.912,0.228,13.136
13432,0.573,0.132,70.957,0.299,19.978
15111,0.465,0.082,40.792,0.212,15.641
16790,0.736,0.105,45.995,0.33,17.281
18469,0.547,0.084,82.045,0.229,18.508
20148,0.219,0.088,70.345,0.091,15.917
21827,0.324,0.127,166.064,0.147,16.794
23506,0.401,0.114,54.645,0.182,18.849
25185,0.558,0.134,64.702,0.265,19.32
26864,2.639,0.222,174.859,1.593,32.64
28543,3.173,0.285,390.345,1.88,36.704
30222,2.002,0.229,93.239,0.904,21.246
31901,2.174,0.194,5107.146,1.144,29.77
33580,1.006,0.175,61.707,0.385,16.86
35259,1.553,0.224,79.279,0.66,20.635
36938,0.677,0.073,56.265,0.272,15.817
38617,0.36,0.125,51.956,0.167,13.288
40296,0.679,0.129,44.705,0.293,13.78
41975,0.567,0.137,72.383,0.378,27.536
43654,0.427,0.162,61.346,0.263,19.811
45333,0.587,0.182,71.465,0.419,20.983
47012,0.574,0.201,90.896,0.436,28.341
48691,0.594,0.169,77.699,0.454,29.228
