window,rmse,mae,mape,smape,nrmse
0,0.907,0.654,66.797,34.649,0.216
1679,0.723,0.533,93.198,26.344,0.176
3358,1.767,0.856,414.675,40.201,0.629
5037,1.062,0.654,65.15,27.959,0.212
6716,0.541,0.401,107.716,25.611,0.149
8395,0.467,0.314,97.328,25.869,0.175
10074,0.665,0.449,83.452,26.152,0.154
11753,0.486,0.262,40.837,15.465,0.142
13432,0.555,0.34,91.383,25.039,0.128
15111,0.548,0.252,46.943,18.085,0.096
16790,0.785,0.349,53.715,18.891,0.112
18469,0.589,0.273,105.865,22.361,0.091
20148,0.224,0.098,106.868,18.011,0.09
21827,0.397,0.248,224.936,26.227,0.156
23506,0.418,0.225,89.253,24.541,0.118
25185,0.566,0.285,105.855,20.706,0.136
26864,2.644,1.636,186.322,34.663,0.222
28543,3.014,1.86,334.784,41.972,0.271
30222,2.047,1.018,110.996,25.117,0.234
31901,2.386,1.299,4653.704,36.746,0.213
33580,1.213,0.816,182.19,53.675,0.211
35259,1.634,0.765,100.786,26.672,0.236
36938,0.764,0.356,68.741,24.359,0.082
38617,0.415,0.243,93.338,18.702,0.144
40296,2.091,0.998,149.739,25.639,0.396
41975,0.589,0.403,85.432,27.826,0.142
43654,0.495,0.329,82.871,26.13,0.187
45333,0.634,0.463,77.92,23.626,0.197
47012,0.611,0.472,163.435,33.435,0.214
48691,0.602,0.464,85.89,29.097,0.171
