window,rmse,mae,mape,smape,nrmse
0,9.499,4.873,673.164,52.313,2.261
1679,0.725,0.535,90.679,27.164,0.176
3358,0.629,0.504,160.642,40.356,0.224
5037,0.757,0.535,54.632,21.08,0.151
6716,0.534,0.404,122.552,25.626,0.147
8395,0.432,0.279,80.431,27.717,0.162
10074,0.675,0.462,92.254,30.029,0.156
11753,0.507,0.253,36.319,15.846,0.148
13432,0.563,0.334,102.088,23.959,0.129
15111,0.714,0.479,98.487,61.883,0.125
16790,0.784,0.39,61.547,26.216,0.112
18469,0.579,0.277,136.617,23.191,0.089
20148,0.226,0.104,105.364,17.307,0.091
21827,0.378,0.244,225.504,26.232,0.149
23506,0.416,0.206,69.398,23.74,0.118
25185,0.58,0.292,70.116,24.889,0.14
26864,2.565,1.603,181.077,35.635,0.215
28543,3.01,1.864,331.854,42.728,0.271
30222,2.035,1.032,115.473,26.086,0.233
31901,2.389,1.331,4586.587,42.935,0.213
33580,0.939,0.48,88.742,34.117,0.163
35259,1.633,0.766,99.587,26.925,0.235
36938,0.767,0.372,75.349,25.871,0.082
38617,0.417,0.264,92.841,20.633,0.145
40296,4.5,1.855,273.429,26.599,0.853
41975,0.603,0.435,103.771,29.88,0.145
43654,0.483,0.319,85.422,25.315,0.183
45333,0.646,0.474,85.435,23.432,0.2
47012,0.677,0.535,174.154,37.265,0.237
48691,0.805,0.655,153.375,32.976,0.228
