dim,fs,window,rmse,mape,smape,mae,nrmse,rules
2,10,0,47.885,44.865,14.071,31.185,0.1,319
2,10,657,38.368,48.822,15.849,26.723,0.047,274
2,10,1314,59.147,18.62,8.062,28.299,0.071,237
2,10,1971,12.472,22.37,8.408,7.109,0.125,243
2,10,2628,26.122,22.473,10.958,15.984,0.046,323
2,10,3285,21.184,21.809,9.335,17.7,0.052,390
2,10,3942,20.762,23.84,9.482,14.823,0.028,387
2,10,4599,42.727,37.955,13.978,28.411,0.064,355
2,10,5256,26.739,23.714,9.821,16.046,0.055,381
2,10,5913,25.277,29.808,10.879,29.651,0.033,387
2,10,6570,18.148,30.528,11.42,13.472,0.033,378
2,10,7227,24.742,40.298,14.192,18.53,0.042,340
2,10,7884,27.953,35.834,12.328,21.591,0.041,417
2,10,8541,24.169,26.588,10.836,16.856,0.035,298
2,10,9198,28.127,32.796,12.254,19.211,0.042,390
2,10,9855,21.727,26.642,10.431,14.654,0.114,360
2,10,10512,39.519,38.49,14.245,24.525,0.063,362
2,10,11169,19.784,30.146,14.82,14.32,0.33,318
2,10,11826,50.943,32.489,11.475,23.461,0.116,302
2,10,12483,18.458,16.737,7.525,17.394,0.053,395
2,10,13140,23.175,19.994,9.588,17.723,0.03,300
2,10,13797,20.382,34.301,12.467,21.153,0.039,314
2,10,14454,24.698,27.017,10.523,16.79,0.274,347
2,10,15111,11.324,10.069,4.404,10.115,0.015,331
2,10,15768,21.712,27.717,11.501,17.755,0.049,323
2,10,16425,34.735,42.898,17.881,24.608,0.094,412
2,10,17082,29.98,10.115,5.278,24.678,0.048,247
2,10,17739,32.993,48.567,17.301,26.01,0.092,281
2,10,18396,39.386,34.598,14.839,30.942,0.088,270
2,10,19053,36.059,34.211,13.322,25.665,0.045,269
2,20,0,7.257,5.699,2.585,4.503,0.015,873
2,20,657,45.61,14.38,5.575,10.247,0.056,706
2,20,1314,21.94,4.388,2.208,5.713,0.026,625
2,20,1971,8.004,9.574,3.433,3.157,0.08,672
2,20,2628,19.953,5.108,2.457,4.903,0.035,826
2,20,3285,7.946,6.858,3.743,4.27,0.019,804
2,20,3942,14.637,11.363,5.214,7.72,0.02,927
2,20,4599,29.608,21.826,7.114,22.151,0.044,910
2,20,5256,19.416,13.513,5.361,8.702,0.04,972
2,20,5913,31.336,19.818,7.028,23.754,0.041,941
2,20,6570,13.992,14.636,6.071,7.488,0.025,1021
2,20,7227,19.515,13.459,5.046,6.828,0.033,862
2,20,7884,17.206,10.987,4.606,7.149,0.025,1067
2,20,8541,12.574,10.242,4.668,6.214,0.018,809
2,20,9198,22.004,19.743,6.855,10.272,0.033,982
2,20,9855,7.759,6.099,2.74,3.231,0.041,896
2,20,10512,17.837,12.951,5.554,8.613,0.028,923
2,20,11169,19.038,11.227,4.227,6.238,0.317,862
2,20,11826,16.933,8.04,3.279,5.263,0.038,774
2,20,12483,12.193,8.148,4.078,8.276,0.035,1001
2,20,13140,7.306,3.757,1.819,4.576,0.01,808
2,20,13797,9.263,10.263,4.886,9.346,0.018,767
2,20,14454,20.424,12.219,4.709,8.348,0.227,885
2,20,15111,8.249,5.022,2.432,7.492,0.011,846
2,20,15768,16.464,15.689,7.716,10.321,0.037,823
2,20,16425,9.394,9.17,4.1,5.248,0.025,936
2,20,17082,22.866,4.695,2.719,17.492,0.037,638
2,20,17739,14.263,12.998,5.604,7.772,0.04,683
2,20,18396,28.053,25.102,10.802,19.139,0.062,740
2,20,19053,11.815,10.011,4.206,6.06,0.015,682
2,30,0,3.195,1.726,0.805,0.842,0.007,1298
2,30,657,26.631,7.104,3.159,6.006,0.033,1047
2,30,1314,11.149,3.423,2.04,3.334,0.013,1028
2,30,1971,2.151,2.117,0.986,0.694,0.022,950
2,30,2628,9.81,3.927,1.724,3.17,0.017,1237
2,30,3285,3.322,2.236,1.052,1.156,0.008,1209
2,30,3942,11.547,6.544,3.263,4.66,0.016,1360
