dim,fs,window,rmse,mape,smape,mae,nrmse,rules
2,10,0,0.673,74.87,22.059,0.495,0.089,252
2,10,2276,0.509,57.587,19.553,0.383,0.065,275
2,10,4552,0.556,113.385,28.71,0.407,0.09,250
2,10,6828,0.642,212.166,40.396,0.519,0.105,267
2,10,9104,0.368,122.82,31.575,0.333,0.079,353
2,10,11380,0.572,118.414,30.32,0.447,0.089,256
2,10,13656,0.509,44.234,17.648,0.373,0.065,311
2,10,15932,0.643,43.172,16.85,0.469,0.083,253
2,10,18208,0.637,103.222,27.095,0.545,0.104,207
2,10,20484,0.53,83.887,25.607,0.443,0.098,248
2,10,22760,0.47,86.279,24.967,0.362,0.071,316
2,10,25036,0.499,127.912,31.69,0.413,0.093,326
2,10,27312,0.419,268.955,49.344,0.342,0.486,342
2,10,29588,0.532,38.343,16.934,0.372,0.076,332
2,10,31864,0.494,48.501,17.358,0.525,0.066,265
2,10,34140,0.618,76.402,23.307,0.441,0.095,255
2,10,36416,0.579,82.321,24.269,0.467,0.087,264
2,10,38692,0.515,65.525,21.171,0.412,0.082,270
2,10,40968,1.079,153.093,31.859,0.676,0.186,293
2,10,43244,0.313,87.89,26.138,0.251,0.088,334
2,10,45520,0.588,74.374,26.499,0.409,0.105,295
2,10,47796,0.575,60.538,21.485,0.414,0.107,328
2,10,50072,0.657,63.894,21.857,0.481,0.122,309
2,10,52348,0.542,40.916,15.068,0.347,0.07,298
2,10,54624,0.431,46.992,16.323,0.307,0.072,291
2,10,56900,0.548,81.043,24.277,0.441,0.088,300
2,10,59176,0.607,103.799,28.667,0.481,0.083,287
2,10,61452,0.273,77.661,24.48,0.199,0.148,332
2,10,63728,0.566,49.997,20.307,0.414,0.096,331
2,10,66004,0.53,53.614,18.993,0.381,0.056,358
2,20,0,0.684,56.862,18.536,0.455,0.091,722
2,20,2276,0.588,33.192,15.327,0.374,0.076,707
2,20,4552,0.617,68.66,21.709,0.342,0.1,660
2,20,6828,0.754,209.841,37.845,0.552,0.124,683
2,20,9104,0.374,28.571,13.748,0.498,0.081,973
2,20,11380,0.535,49.069,19.374,0.332,0.083,577
2,20,13656,0.328,17.932,8.76,0.226,0.042,788
2,20,15932,0.64,31.433,15.174,0.464,0.083,728
2,20,18208,0.572,64.955,20.298,0.394,0.093,548
2,20,20484,0.511,25.682,10.781,0.367,0.094,565
2,20,22760,0.396,55.105,18.842,0.265,0.06,838
2,20,25036,0.587,118.292,29.552,0.426,0.109,909
2,20,27312,0.177,137.7,33.17,0.149,0.205,1049
2,20,29588,0.488,26.438,13.939,0.329,0.069,823
2,20,31864,0.369,9.644,4.707,0.481,0.049,665
2,20,34140,0.62,52.367,18.408,0.397,0.095,628
2,20,36416,0.548,53.65,18.244,0.402,0.082,711
2,20,38692,0.547,49.367,17.073,0.362,0.087,660
2,20,40968,0.836,104.203,25.205,0.48,0.144,745
2,20,43244,0.089,25.522,10.519,0.062,0.025,813
